num_params:1 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 4, Weight Decay: 0, Accuracy: 56.9%
num_params:2 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 4, Weight Decay: 0.001, Accuracy: 54.0%
num_params:3 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 4, Weight Decay: 0.005, Accuracy: 55.9%
num_params:4 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 4, Weight Decay: 0.01, Accuracy: 47.0%
num_params:5 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 8, Weight Decay: 0, Accuracy: 63.3%
num_params:6 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 8, Weight Decay: 0.001, Accuracy: 63.0%
num_params:7 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 8, Weight Decay: 0.005, Accuracy: 60.9%
num_params:8 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 8, Weight Decay: 0.01, Accuracy: 58.2%
num_params:9 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 16, Weight Decay: 0, Accuracy: 66.1%
num_params:10 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 16, Weight Decay: 0.001, Accuracy: 64.9%
num_params:11 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 16, Weight Decay: 0.005, Accuracy: 63.4%
num_params:12 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 16, Weight Decay: 0.01, Accuracy: 62.8%
num_params:13 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 24, Weight Decay: 0, Accuracy: 65.4%
num_params:14 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 24, Weight Decay: 0.001, Accuracy: 66.6%
num_params:15 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 24, Weight Decay: 0.005, Accuracy: 64.3%
num_params:16 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 32, Num Epochs: 24, Weight Decay: 0.01, Accuracy: 63.8%
num_params:17 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 4, Weight Decay: 0, Accuracy: 51.8%
num_params:18 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 4, Weight Decay: 0.001, Accuracy: 50.4%
num_params:19 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 4, Weight Decay: 0.005, Accuracy: 48.6%
num_params:20 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 4, Weight Decay: 0.01, Accuracy: 48.5%
num_params:21 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 8, Weight Decay: 0, Accuracy: 58.4%
num_params:22 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 8, Weight Decay: 0.001, Accuracy: 57.5%
num_params:23 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 8, Weight Decay: 0.005, Accuracy: 59.2%
num_params:24 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 8, Weight Decay: 0.01, Accuracy: 57.3%
num_params:25 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 16, Weight Decay: 0, Accuracy: 61.4%
num_params:26 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 16, Weight Decay: 0.001, Accuracy: 60.0%
num_params:27 ,Dropout: 0.2, LR: 0.001, Momentum: 0.9, Batch Size: 64, Num Epochs: 16, Weight Decay: 0.005, Accuracy: 62.7%
