num_params:1 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 8, Weight Decay: 0, Accuracy: 63.2%
num_params:2 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 8, Weight Decay: 0.0018, Accuracy: 62.5%
num_params:3 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 8, Weight Decay: 0.001, Accuracy: 63.0%
num_params:4 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 16, Weight Decay: 0, Accuracy: 64.2%
num_params:5 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 16, Weight Decay: 0.0018, Accuracy: 64.5%
num_params:6 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 16, Weight Decay: 0.001, Accuracy: 66.3%
num_params:7 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 24, Weight Decay: 0, Accuracy: 65.2%
num_params:8 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 24, Weight Decay: 0.0018, Accuracy: 66.0%
num_params:9 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 24, Weight Decay: 0.001, Accuracy: 64.9%
num_params:10 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 32, Weight Decay: 0, Accuracy: 64.8%
num_params:11 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 32, Weight Decay: 0.0018, Accuracy: 65.3%
num_params:12 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 64, Num Epochs: 32, Weight Decay: 0.001, Accuracy: 67.3%
num_params:13 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 8, Weight Decay: 0, Accuracy: 61.5%
num_params:14 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 8, Weight Decay: 0.0018, Accuracy: 62.3%
num_params:15 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 8, Weight Decay: 0.001, Accuracy: 62.2%
num_params:16 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 16, Weight Decay: 0, Accuracy: 65.5%
num_params:17 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 16, Weight Decay: 0.0018, Accuracy: 64.3%
num_params:18 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 16, Weight Decay: 0.001, Accuracy: 64.5%
num_params:19 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 24, Weight Decay: 0, Accuracy: 65.6%
num_params:20 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 24, Weight Decay: 0.0018, Accuracy: 66.5%
num_params:21 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 24, Weight Decay: 0.001, Accuracy: 66.9%
num_params:22 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 32, Weight Decay: 0, Accuracy: 67.1%
num_params:23 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 32, Weight Decay: 0.0018, Accuracy: 65.6%
num_params:24 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 96, Num Epochs: 32, Weight Decay: 0.001, Accuracy: 64.5%
num_params:25 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 128, Num Epochs: 8, Weight Decay: 0, Accuracy: 60.3%
num_params:26 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 128, Num Epochs: 8, Weight Decay: 0.0018, Accuracy: 59.2%
num_params:27 ,Dropout: 0.35, LR: 0.002, Momentum: 0.94, Batch Size: 128, Num Epochs: 8, Weight Decay: 0.001, Accuracy: 59.4%
